Ключ;Значение
ААРМ;армейская артиллерийская ремонтная мастерская
АБ;автобронетанковый
АБТ;автобронетанковый
АБТВ;автобронетанковые войска
АБТМ;автобронетанковая мастерская
АБТО;автобронетанковый отдел
АБТУ;автобронетанковое управление
АВАД;армейская военно-автомобильная дорога
АВВСПВО;армия ВВС и ПВО
АВЛ;армейский ветлазарет
АВП;армия Войска Польского
АГ;армейская группа
АГШ;Академия Генерального штаба
АДД;авиация дальнего действия
АДЦ;авиация дальнего действия
АЗ;аэростат заграждения
АИР;артиллерийская инструментальная разведка
АК;армейский корпус
АККУКС;Артиллерийские Краснознаменные курсы усовершенствования командного состава
АКУКС;артиллерийские курсы усовершенствования командного состава
АМП;артиллерийский метеорологический пост
АНО;аэронавигационные огни
АНП;артиллерийский наблюдательный пункт ( внесено дополнение)
АОН;артиллерия особого назначения, армия особого назначения
АОНР;артиллерия особого назначения республики
АП;авиационный полк
АРГК;артиллерия резерва Главного Командования
АССР;автономная советская социалистическая республика
АУ;артиллерийское управление
АХО;административно-хозяйственный отдел
АХС;административно-хозяйственная служба
АХЧ;административно-хозяйственная часть
АЭ;авиационная эскадрилья
Агитпропотдел;агитационно-пропагандистский отдел
Агитпросвет;агитационно-просветительский отдел
АзВФ;Азовская военная флотилия
АЗФ;Азовская военная флотилия
Ардом;арестный дом
АртИ;артиллерийский институт
АртИИ;артиллерийский инженерный институт
Артком;Артиллерийский комитет
Артсклад;артиллерийский склад
АрхВО;Архангельский военный округ
Б.;(в названии) Большой
Б/п;беспартийный
БА;бомбардировочная авиация
БАО;батальон аэродромного обслуживания
ББ;ближний бомбардировщик
ББА;ближнебомбардировочная авиация
ББК;Беломорско-Балтийский канал
БВМИ;Балтийский военно-морской институт
БВО;Белорусский военный округ
БДБ;быстроходные десантные баржи
БЕПО;бронепоезд
БЗ;боезапас
БКА;бронекатер
БМ;большой мощности
БОВО;Белорусский Особый военный округ
БРО;батальонный район обороны
БССР;Белорусская Советская Социалистическая Республика
БТиМВ;бронетанковые и механизированные войска
БУП;Боевой устав пехоты
БФ;Белорусский фронт
Боеучасток;боевой участок
буч;боевой участок
ВА;воздушная армия
ВАГШ;Военная академия Генерального штаба
ВАД;военно-автомобильная дорога
ВАИ;Военный авиационный институт
ВАИИ;Военный авиационный инженерный институт
ВАКШС;Военная академия командного и штурманского состава ВВС КА
ВАРВСН;Военная академия РВСН
ВАТТ;Военная академия тыла и транспорта
ВАТУ;Военный авиационно-технический университет
ВАФ;Военная академия им. М.В. Фрунзе
ВАвтУ;Военный автомобильный университет
ВАртУ;Военный артиллерийский университет
ВВ;внутренние войска
ВВА;Военно-воздушная академия
ВВС;военно-воздушные силы
ВВСП;временный военно-санитарный поезд
ВВУЗ;высшее военно-учебное заведение
ВВФ;Волжская военная флотилия
ВГК;верховное главнокомандование
ВДА;воздушно-десантная армия
ВДВ;воздушно-десантные войска
ВДУ;военно-дорожное управление
ВИ;военный институт
ВИА;воздушная истребительная армия
ВИГУ;Военный инженерно-технический университет
ВИИРЭ;Военный инженерный институт радиоэлектроники
ВИКУ;Военный инженерный космический университет
ВИРВ;Военный институт ракетных войск
ВИРХБЗ;Военный институт радиационной, химической и биологической защиты
ВИРЭ;Военный институт радиоэлектроники
ВИС;Военный институт связи
ВИТУ;Военный инженерно-технический университет
ВИУ;военно-инженерное управление
ВИФК;Военный институт физкультуры
ВК;Верховное Командование
ВКП(б);Всесоюзная коммунистическая партия (большевиков)
ВКПП;ветеринарный контрольно-пропускной пункт
ВЛКСМ;Всесоюзный ленинский коммунистический союз молодежи
ВМА;Военно-морская академия
ВМБ;военно-морская база
ВМИ;Военно-медицинский институт
ВМИИ;Военно-морской инженерный институт
ВМИРЭ;Военной-морской институт радиоэлектроники
ВМН;высшая мера наказания (обычно - расстрел)
ВМП;военно-морская пехота
ВМС;военно-морские силы
ВМФ;военно-морской флот
ВНОС;служба воздушного наблюдения, оповещения и связи
ВНУС;войска внутренней службы
ВО;военный круг
ВОВ;Великая Отечественная Война
ВОКС;Всесоюзное общество культурных связей (с заграницей)
ВОСО;военные сообщения
ВОХР;войска внутренней охраны Республики
ВПА;Военню-политическая академия им. В.И. Ленина
ВПК;военно-пожарная команда
ВПП;взлетно-посадочная полоса [609]
ВПР;временный перегрузочный район
ВПС;военно-полевое строительство
ВПУ;вспомогательный пункт управления
ВРИД;временно исполняющий должность
ВРИО;временно исполняющий обязанность
ВС;военный совет
ВСЛ;военно-санитарная летучка
ВСО;военно-строительный отряд
